display_name,model_type,parameters,inference_time_ms,training_time_s
TasNet,DNN,2503296.0,60.89694000000012,10072.054724
TasNet,DNN,2503296.0,209.92230000000058,4103.91
TasNet,DNN,2503296.0,62.18287999999994,7414.275981
TasNet,DNN,2503296.0,65.65286000000015,5170.150694
UNet1D,DNN,2710819.0,21.702780000000036,4045.382972
UNet1D,DNN,2710819.0,20.078459999999957,2983.988591
UNet1D,DNN,2710819.0,23.58507999999988,1960.028697
UNet1D,DNN,2710819.0,65.46199999999835,1103.905236
TasNet,DNN,2503296.0,64.11750000000005,2758.391659
UNet1D,DNN,2710819.0,18.38292000000008,667.219221
SepFormer,DNN,601088.0,106.33939999999953,3171.22
SepFormer,DNN,601088.0,13.138920000000008,3959.092119
SepFormer,DNN,601088.0,10.904479999999994,2007.1771
SepFormer,DNN,601088.0,14.294679999999982,2989.189361
TasNet,DNN,2503296.0,70.56521999999994,1184.359098
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,178.57840000000013,
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,9.37943999999997,2481.708534
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,7.464459999999829,973.315317
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,8.364099999999919,1904.221386
UNet1D,DNN,2710819.0,21.12927999999989,311.942761
Fuse Shallow,SNN,5859.0,3.6382199999999365,437.551995
Attention-Stem Multi-Head Multiscale Branches,SNN,17638.0,6.221500000000102,1292.263188
Attention-Stem Multi-Head Multiscale Branches,SNN,17638.0,9.77739000000013,555.904363
Attention-Stem Multi-Head Multiscale Branches,SNN,17638.0,5.772379999999933,1841.048331
Fuse Shallow,SNN,5859.0,3.4778599999999216,299.722866
Fuse Shallow,SNN,5859.0,17.548099999999955,400.423291
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,7.945440000000036,494.951999
Multiscale Branches,SNN,5859.0,2.202119999999974,398.392646
SepFormer,DNN,601088.0,12.50725999999984,1031.709645
Multiple-Head Multiscale Branches,SNN,5859.0,18.25028999999998,412.17042749999996
Multiscale Branches,SNN,5859.0,15.151300000000312,561.925048
Fuse Shallow,SNN,5859.0,3.1576600000000177,564.911788
Attention-Stem Multi-Head Multiscale Branches,SNN,17638.0,6.234919999999899,357.86187
Multiscale Branches,SNN,5859.0,4.958219999999969,606.506641
Multiple-Head Multiscale Branches,SNN,5859.0,4.473500000000108,1179.774093
Multiscale Branches,SNN,5859.0,3.423500000000068,1040.581746
Multiple-Head Multiscale Branches,SNN,5859.0,4.4393600000000255,765.825063
Multiscale Branches,SNN,5859.0,3.0849599999998922,187.446532
Fuse Shallow,SNN,5859.0,3.2643800000001555,186.306587
Multiple-Head Multiscale Branches,SNN,5859.0,6.717400000000052,243.399143
TasNet,DNN,2503296.0,67.58404000000003,594.789172
UNet1D,DNN,2710819.0,18.177640000000036,201.279979
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,13.618039999999974,262.851488
Attention-Stem Multi-Head Multiscale Branches,SNN,17638.0,6.491880000000006,167.682418
conv1Dnetwork,SNN,5443.0,1.8749799999999262,312.356608
Fuse Shallow,SNN,5859.0,3.343020000000063,102.42205
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,29302.0,8.350439999999981,162.839033
conv1Dnetwork,SNN,5443.0,1.0397399999999557,457.228666
conv1Dnetwork,SNN,5443.0,7.591600000000476,441.119436
Multiple-Head Multiscale Branches,SNN,5859.0,5.115839999999938,133.784901
Autoencoder,DNN,23651.0,6.609500000000601,478.383541
Multiscale Dilated,SNN,12867.0,3.0596599999999974,632.812619
Multiscale Branches,SNN,5859.0,3.5903999999998604,124.333742
Attention-Stem Multi-Head Multiscale Branches,SNN,17638.0,6.422499999999954,118.47167
conv1Dnetwork,SNN,5443.0,1.8836399999998754,100.640734
conv1Dnetwork,SNN,5443.0,1.3884000000000007,184.630727
Multiscale Dilated,SNN,12867.0,70.69290000000007,462.930389
conv1Dnetwork,SNN,5443.0,1.8496399999999191,621.753047
Multiscale Dilated,SNN,12867.0,3.4148199999997964,489.468335
Multiscale Dilated,SNN,12867.0,3.784819999999911,357.379659
conv1Dnetwork,SNN,5443.0,1.530520000000113,75.935678
Multiple-Head Multiscale Branches,SNN,5859.0,5.121059999999922,94.700302
Multiscale Branches,SNN,5859.0,4.2454400000001336,91.756563
Fuse Shallow,SNN,5859.0,3.801720000000053,76.531677
Multiscale Dilated,SNN,12867.0,3.1815000000000815,208.400401
RNN (LSTM/GRU),DNN,530179.0,2762.9647999999997,
Multiscale Dilated,SNN,12867.0,3.7411399999999873,107.57948
Multiscale Dilated,SNN,12867.0,4.579439999999923,82.000292
SepFormer,DNN,601088.0,15.731740000000105,396.398976
SepFormer,DNN,601088.0,12.75501999999995,238.750869
SingleHead MLP,SNN,643.0,0.6457800000000624,340.698907
SingleHead MLP,SNN,643.0,0.7144199999999046,90.5334
SingleHead MLP,SNN,643.0,0.7305000000000561,473.963643
SingleHead MLP,SNN,643.0,0.9899000000004321,598.175372
SingleHead MLP,SNN,643.0,0.35759999999993575,153.638428
SingleHead MLP,SNN,643.0,0.5426400000001053,62.012891
Attention-Stem Multi-Head Multiscale TCN,SNN,78070.0,11.533619999999889,3.635513
Three Parallel Shallow Branches,SNN,1251.0,2.3052999999997326,
Shallow Conv1D,SNN,5443.0,14.532199999999662,
