model_name,display_name,model_type,family,architecture,config_name,train_fraction,train_samples,macro_corr,macro_corr_std,macro_corr_min,macro_corr_max,macro_corr_count,macro_snr,macro_snr_std,macro_snr_min,macro_snr_max,macro_snr_count,test_loss,test_loss_std,test_loss_min,test_loss_max,test_loss_count,module_count,module_count_std,module_count_min,module_count_max,module_count_count,parameters,parameters_std,parameters_min,parameters_max,parameters_count,inference_time_ms,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_count,training_time_s,training_time_s_std,training_time_s_min,training_time_s_max,training_time_s_count,peak_memory_mb,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,total_flops,total_flops_std,total_flops_min,total_flops_max,total_flops_count,estimated_energy,estimated_energy_std,estimated_energy_min,estimated_energy_max,estimated_energy_count,accuracy_per_training_second,accuracy_per_training_second_std,accuracy_per_training_second_min,accuracy_per_training_second_max,accuracy_per_training_second_count,snr_per_training_second,snr_per_training_second_std,snr_per_training_second_min,snr_per_training_second_max,snr_per_training_second_count,accuracy_per_1000_parameters,accuracy_per_1000_parameters_std,accuracy_per_1000_parameters_min,accuracy_per_1000_parameters_max,accuracy_per_1000_parameters_count,snr_per_1000_parameters,snr_per_1000_parameters_std,snr_per_1000_parameters_min,snr_per_1000_parameters_max,snr_per_1000_parameters_count,accuracy_per_inference_ms,accuracy_per_inference_ms_std,accuracy_per_inference_ms_min,accuracy_per_inference_ms_max,accuracy_per_inference_ms_count,snr_per_inference_ms,snr_per_inference_ms_std,snr_per_inference_ms_min,snr_per_inference_ms_max,snr_per_inference_ms_count,accuracy_per_sample,accuracy_per_sample_std,accuracy_per_sample_min,accuracy_per_sample_max,accuracy_per_sample_count,seed_count,macro_corr_sem,macro_corr_ci95,macro_snr_sem,macro_snr_ci95,test_loss_sem,test_loss_ci95
tasnet,TasNet,DNN,tasnet,tasnet,,1.0,8000.0,0.9347157604469225,,0.9347157604469225,0.9347157604469225,1,8.978874880924309,,8.978874880924309,8.978874880924309,1,0.13216790318489074,,0.13216790318489074,0.13216790318489074,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,60.89694000000012,,60.89694000000012,60.89694000000012,1,10072.054724,,10072.054724,10072.054724,1,,,,,0,,,,,0,,,,,0,9.280288740088487e-05,,9.280288740088487e-05,9.280288740088487e-05,1,0.0008914640683523265,,0.0008914640683523265,0.0008914640683523265,1,0.0003733940215008223,,0.0003733940215008223,0.0003733940215008223,1,0.0035868210874480323,,0.0035868210874480323,0.0035868210874480323,1,0.01534914168834954,,0.01534914168834954,0.01534914168834954,1,0.14744377764998193,,0.14744377764998193,0.14744377764998193,1,0.00011683947005586531,,0.00011683947005586531,0.00011683947005586531,1,1,,,,,,
tasnet,TasNet,DNN,tasnet,tasnet,,0.564,4512.0,0.9345496932204675,,0.9345496932204675,0.9345496932204675,1,9.322229397256804,,9.322229397256804,9.322229397256804,1,0.02802625800172488,,0.02802625800172488,0.02802625800172488,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,209.92230000000058,,209.92230000000058,209.92230000000058,1,4103.91,,4103.91,4103.91,1,,,,,0,,,,,0,,,,,0,0.00022772178074579306,,0.00022772178074579306,0.00022772178074579306,1,0.0022715482057980812,,0.0022715482057980812,0.0022715482057980812,1,0.00037332768207214314,,0.00037332768207214314,0.00037332768207214314,1,0.0037239820609535606,,0.0037239820609535606,0.0037239820609535606,1,0.004451883831400785,,0.004451883831400785,0.004451883831400785,1,0.04440799951818734,,0.04440799951818734,0.04440799951818734,1,0.0002071253752704937,,0.0002071253752704937,0.0002071253752704937,1,1,,,,,,
tasnet,TasNet,DNN,tasnet,tasnet,,0.75,6000.0,0.9176189809607689,,0.9176189809607689,0.9176189809607689,1,8.491382118262306,,8.491382118262306,8.491382118262306,1,0.1510607546567917,,0.1510607546567917,0.1510607546567917,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,62.18287999999994,,62.18287999999994,62.18287999999994,1,7414.275981,,7414.275981,7414.275981,1,,,,,0,,,,,0,,,,,0,0.0001237638015245563,,0.0001237638015245563,0.0001237638015245563,1,0.0011452746215574554,,0.0011452746215574554,0.0011452746215574554,1,0.0003665643139927396,,0.0003665643139927396,0.0003665643139927396,1,0.003392080728073031,,0.003392080728073031,0.003392080728073031,1,0.014756778408474645,,0.014756778408474645,0.014756778408474645,1,0.13655498295129326,,0.13655498295129326,0.13655498295129326,1,0.00015293649682679482,,0.00015293649682679482,0.00015293649682679482,1,1,,,,,,
tasnet,TasNet,DNN,tasnet,tasnet,,0.5,4000.0,0.9151321654225762,,0.9151321654225762,0.9151321654225762,1,8.16621640033858,,8.16621640033858,8.16621640033858,1,0.14947033643722535,,0.14947033643722535,0.14947033643722535,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,65.65286000000015,,65.65286000000015,65.65286000000015,1,5170.150694,,5170.150694,5170.150694,1,,,,,0,,,,,0,,,,,0,0.0001770029965441035,,0.0001770029965441035,0.0001770029965441035,1,0.001579492916872914,,0.001579492916872914,0.001579492916872914,1,0.0003655708974977695,,0.0003655708974977695,0.0003655708974977695,1,0.003262185694515783,,0.003262185694515783,0.003262185694515783,1,0.013938953541743257,,0.013938953541743257,0.013938953541743257,1,0.12438477775893636,,0.12438477775893636,0.12438477775893636,1,0.00022878304135564407,,0.00022878304135564407,0.00022878304135564407,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,1.0,8000.0,0.8941169274742142,,0.8941169274742142,0.8941169274742142,1,7.398852053601261,,7.398852053601261,7.398852053601261,1,0.15877111196517946,,0.15877111196517946,0.15877111196517946,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,21.702780000000036,,21.702780000000036,21.702780000000036,1,4045.382972,,4045.382972,4045.382972,1,,,,,0,,,,,0,,,,,0,0.00022102157784882628,,0.00022102157784882628,0.00022102157784882628,1,0.001828962079687436,,0.001828962079687436,0.001828962079687436,1,0.0003298327654757526,,0.0003298327654757526,0.0003298327654757526,1,0.002729378853254777,,0.002729378853254777,0.002729378853254777,1,0.04119826711021412,,0.04119826711021412,0.04119826711021412,1,0.3409172490160822,,0.3409172490160822,0.3409172490160822,1,0.00011176461593427678,,0.00011176461593427678,0.00011176461593427678,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,0.75,6000.0,0.8800427993324463,,0.8800427993324463,0.8800427993324463,1,7.166305068232628,,7.166305068232628,7.166305068232628,1,0.175801500082016,,0.175801500082016,0.175801500082016,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,20.078459999999957,,20.078459999999957,20.078459999999957,1,2983.988591,,2983.988591,2983.988591,1,,,,,0,,,,,0,,,,,0,0.00029492163676052285,,0.00029492163676052285,0.00029492163676052285,1,0.0024015859476966173,,0.0024015859476966173,0.0024015859476966173,1,0.00032464092930308014,,0.00032464092930308014,0.00032464092930308014,1,0.002643594082907279,,0.002643594082907279,0.002643594082907279,1,0.04383019411510884,,0.04383019411510884,0.04383019411510884,1,0.3569150755701704,,0.3569150755701704,0.3569150755701704,1,0.00014667379988874107,,0.00014667379988874107,0.00014667379988874107,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,0.5,4000.0,0.8786929483360199,,0.8786929483360199,0.8786929483360199,1,6.875950211033271,,6.875950211033271,6.875950211033271,1,0.17511518716812133,,0.17511518716812133,0.17511518716812133,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,23.58507999999988,,23.58507999999988,23.58507999999988,1,1960.028697,,1960.028697,1960.028697,1,,,,,0,,,,,0,,,,,0,0.0004483061649459206,,0.0004483061649459206,0.0004483061649459206,1,0.003508086499732137,,0.003508086499732137,0.003508086499732137,1,0.0003241429797917234,,0.0003241429797917234,0.0003241429797917234,1,0.002536484439216809,,0.002536484439216809,0.002536484439216809,1,0.03725630561083636,,0.03725630561083636,0.03725630561083636,1,0.29153813389792643,,0.29153813389792643,0.29153813389792643,1,0.00021967323708400497,,0.00021967323708400497,0.00021967323708400497,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,0.564,4512.0,0.8778733767275306,,0.8778733767275306,0.8778733767275306,1,6.835553567502021,,6.835553567502021,6.835553567502021,1,0.05228243485093117,,0.05228243485093117,0.05228243485093117,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,65.46199999999835,,65.46199999999835,65.46199999999835,1,1103.905236,,1103.905236,1103.905236,1,,,,,0,,,,,0,,,,,0,0.0007952434213542679,,0.0007952434213542679,0.0007952434213542679,1,0.0061921561240805825,,0.0061921561240805825,0.0061921561240805825,1,0.00032384064621338813,,0.00032384064621338813,0.00032384064621338813,1,0.0025215824322841257,,0.0025215824322841257,0.0025215824322841257,1,0.01341042706803264,,0.01341042706803264,0.01341042706803264,1,0.10442017609456163,,0.10442017609456163,0.10442017609456163,1,0.00019456413491301654,,0.00019456413491301654,0.00019456413491301654,1,1,,,,,,
unet1d_pure_harmonic_amfm_chirp_trend_transient,unet1d_pure_harmonic_amfm_chirp_trend_transient,DNN,unknown,unknown,,,,0.8721274239793777,,0.8721274239793777,0.8721274239793777,1,7.174882978804903,,7.174882978804903,7.174882978804903,1,0.03774098493158817,,0.03774098493158817,0.03774098493158817,1,0.0,,0,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,,,
tasnet,TasNet,DNN,tasnet,tasnet,,0.25,2000.0,0.8702248242361835,,0.8702248242361835,0.8702248242361835,1,6.65571652504328,,6.65571652504328,6.65571652504328,1,0.18830593943595886,,0.18830593943595886,0.18830593943595886,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,64.11750000000005,,64.11750000000005,64.11750000000005,1,2758.391659,,2758.391659,2758.391659,1,,,,,0,,,,,0,,,,,0,0.00031548269129832936,,0.00031548269129832936,0.00031548269129832936,1,0.0024128975678008604,,0.0024128975678008604,0.0024128975678008604,1,0.0003476316121769793,,0.0003476316121769793,0.0003476316121769793,1,0.0026587812727872696,,0.0026587812727872696,0.0026587812727872696,1,0.013572344901722351,,0.013572344901722351,0.013572344901722351,1,0.10380499122771902,,0.10380499122771902,0.10380499122771902,1,0.00043511241211809175,,0.00043511241211809175,0.00043511241211809175,1,1,,,,,,
