model_name,display_name,model_type,family,architecture,config_name,train_fraction,train_samples,macro_corr,macro_corr_std,macro_corr_min,macro_corr_max,macro_corr_count,macro_snr,macro_snr_std,macro_snr_min,macro_snr_max,macro_snr_count,test_loss,test_loss_std,test_loss_min,test_loss_max,test_loss_count,module_count,module_count_std,module_count_min,module_count_max,module_count_count,parameters,parameters_std,parameters_min,parameters_max,parameters_count,inference_time_ms,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_count,training_time_s,training_time_s_std,training_time_s_min,training_time_s_max,training_time_s_count,peak_memory_mb,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,total_flops,total_flops_std,total_flops_min,total_flops_max,total_flops_count,estimated_energy,estimated_energy_std,estimated_energy_min,estimated_energy_max,estimated_energy_count,accuracy_per_training_second,accuracy_per_training_second_std,accuracy_per_training_second_min,accuracy_per_training_second_max,accuracy_per_training_second_count,snr_per_training_second,snr_per_training_second_std,snr_per_training_second_min,snr_per_training_second_max,snr_per_training_second_count,accuracy_per_1000_parameters,accuracy_per_1000_parameters_std,accuracy_per_1000_parameters_min,accuracy_per_1000_parameters_max,accuracy_per_1000_parameters_count,snr_per_1000_parameters,snr_per_1000_parameters_std,snr_per_1000_parameters_min,snr_per_1000_parameters_max,snr_per_1000_parameters_count,accuracy_per_inference_ms,accuracy_per_inference_ms_std,accuracy_per_inference_ms_min,accuracy_per_inference_ms_max,accuracy_per_inference_ms_count,snr_per_inference_ms,snr_per_inference_ms_std,snr_per_inference_ms_min,snr_per_inference_ms_max,snr_per_inference_ms_count,accuracy_per_sample,accuracy_per_sample_std,accuracy_per_sample_min,accuracy_per_sample_max,accuracy_per_sample_count,seed_count,macro_corr_sem,macro_corr_ci95,macro_snr_sem,macro_snr_ci95,test_loss_sem,test_loss_ci95
tasnet,TasNet,DNN,tasnet,tasnet,,1.0,8000.0,0.9347157604469225,,0.9347157604469225,0.9347157604469225,1,8.978874880924309,,8.978874880924309,8.978874880924309,1,0.13216790318489074,,0.13216790318489074,0.13216790318489074,1,0.0,,0,0,1,2503296.0,,2503296.0,2503296.0,1,60.89694000000012,,60.89694000000012,60.89694000000012,1,10072.054724,,10072.054724,10072.054724,1,,,,,0,,,,,0,,,,,0,9.280288740088487e-05,,9.280288740088487e-05,9.280288740088487e-05,1,0.0008914640683523265,,0.0008914640683523265,0.0008914640683523265,1,0.0003733940215008223,,0.0003733940215008223,0.0003733940215008223,1,0.0035868210874480323,,0.0035868210874480323,0.0035868210874480323,1,0.01534914168834954,,0.01534914168834954,0.01534914168834954,1,0.14744377764998193,,0.14744377764998193,0.14744377764998193,1,0.00011683947005586531,,0.00011683947005586531,0.00011683947005586531,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,1.0,8000.0,0.8941169274742142,,0.8941169274742142,0.8941169274742142,1,7.398852053601261,,7.398852053601261,7.398852053601261,1,0.15877111196517946,,0.15877111196517946,0.15877111196517946,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,21.702780000000036,,21.702780000000036,21.702780000000036,1,4045.382972,,4045.382972,4045.382972,1,,,,,0,,,,,0,,,,,0,0.00022102157784882628,,0.00022102157784882628,0.00022102157784882628,1,0.001828962079687436,,0.001828962079687436,0.001828962079687436,1,0.0003298327654757526,,0.0003298327654757526,0.0003298327654757526,1,0.002729378853254777,,0.002729378853254777,0.002729378853254777,1,0.04119826711021412,,0.04119826711021412,0.04119826711021412,1,0.3409172490160822,,0.3409172490160822,0.3409172490160822,1,0.00011176461593427678,,0.00011176461593427678,0.00011176461593427678,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,0.75,6000.0,0.8800427993324463,,0.8800427993324463,0.8800427993324463,1,7.166305068232628,,7.166305068232628,7.166305068232628,1,0.175801500082016,,0.175801500082016,0.175801500082016,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,20.078459999999957,,20.078459999999957,20.078459999999957,1,2983.988591,,2983.988591,2983.988591,1,,,,,0,,,,,0,,,,,0,0.00029492163676052285,,0.00029492163676052285,0.00029492163676052285,1,0.0024015859476966173,,0.0024015859476966173,0.0024015859476966173,1,0.00032464092930308014,,0.00032464092930308014,0.00032464092930308014,1,0.002643594082907279,,0.002643594082907279,0.002643594082907279,1,0.04383019411510884,,0.04383019411510884,0.04383019411510884,1,0.3569150755701704,,0.3569150755701704,0.3569150755701704,1,0.00014667379988874107,,0.00014667379988874107,0.00014667379988874107,1,1,,,,,,
unet1d,UNet1D,DNN,unet,unet,,0.25,2000.0,0.8428469345575076,,0.8428469345575076,0.8428469345575076,1,6.139492541276734,,6.139492541276734,6.139492541276734,1,0.2095617127418518,,0.2095617127418518,0.2095617127418518,1,0.0,,0,0,1,2710819.0,,2710819.0,2710819.0,1,18.38292000000008,,18.38292000000008,18.38292000000008,1,667.219221,,667.219221,667.219221,1,,,,,0,,,,,0,,,,,0,0.0012632234024887417,,0.0012632234024887417,0.0012632234024887417,1,0.009201612225851532,,0.009201612225851532,0.009201612225851532,1,0.00031091966470557703,,0.00031091966470557703,0.00031091966470557703,1,0.002264810945060048,,0.002264810945060048,0.002264810945060048,1,0.045849458875820814,,0.045849458875820814,0.045849458875820814,1,0.33397809168928044,,0.33397809168928044,0.33397809168928044,1,0.0004214234672787538,,0.0004214234672787538,0.0004214234672787538,1,1,,,,,,
sepformer,SepFormer,DNN,sepformer,sepformer,,0.564,4512.0,0.841449532267773,,0.841449532267773,0.841449532267773,1,5.951174931367793,,5.951174931367793,5.951174931367793,1,0.05724945306777954,,0.05724945306777954,0.05724945306777954,1,0.0,,0,0,1,601088.0,,601088.0,601088.0,1,106.33939999999953,,106.33939999999953,106.33939999999953,1,3171.22,,3171.22,3171.22,1,,,,,0,,,,,0,,,,,0,0.00026533937483611133,,0.00026533937483611133,0.00026533937483611133,1,0.001876620017333327,,0.001876620017333327,0.001876620017333327,1,0.0013998774426835555,,0.0013998774426835555,0.0013998774426835555,1,0.009900671667655639,,0.009900671667655639,0.009900671667655639,1,0.007912867030167338,,0.007912867030167338,0.007912867030167338,1,0.055963969435296974,,0.055963969435296974,0.055963969435296974,1,0.000186491474350127,,0.000186491474350127,0.000186491474350127,1,1,,,,,,
sepformer,SepFormer,DNN,sepformer,sepformer,,1.0,8000.0,0.8305565449570773,,0.8305565449570773,0.8305565449570773,1,5.719980325070204,,5.719980325070204,5.719980325070204,1,0.1839870524406433,,0.1839870524406433,0.1839870524406433,1,0.0,,0,0,1,601088.0,,601088.0,601088.0,1,13.138920000000008,,13.138920000000008,13.138920000000008,1,3959.092119,,3959.092119,3959.092119,1,,,,,0,,,,,0,,,,,0,0.00020978459707243739,,0.00020978459707243739,0.00020978459707243739,1,0.0014447707083196071,,0.0014447707083196071,0.0014447707083196071,1,0.001381755325271969,,0.001381755325271969,0.001381755325271969,1,0.009516044780581552,,0.009516044780581552,0.009516044780581552,1,0.06321345627776688,,0.06321345627776688,0.06321345627776688,1,0.4353463089104889,,0.4353463089104889,0.4353463089104889,1,0.00010381956811963466,,0.00010381956811963466,0.00010381956811963466,1,1,,,,,,
sepformer,SepFormer,DNN,sepformer,sepformer,,0.5,4000.0,0.8203086096643486,,0.8203086096643486,0.8203086096643486,1,5.487244279333515,,5.487244279333515,5.487244279333515,1,0.1977774167060852,,0.1977774167060852,0.1977774167060852,1,0.0,,0,0,1,601088.0,,601088.0,601088.0,1,10.904479999999994,,10.904479999999994,10.904479999999994,1,2007.1771,,2007.1771,2007.1771,1,,,,,0,,,,,0,,,,,0,0.00040868770855563693,,0.00040868770855563693,0.00040868770855563693,1,0.002733811719620314,,0.002733811719620314,0.002733811719620314,1,0.0013647063485951285,,0.0013647063485951285,0.0013647063485951285,1,0.009128853477915904,,0.009128853477915904,0.009128853477915904,1,0.07522675172629498,,0.07522675172629498,0.07522675172629498,1,0.5032100824004003,,0.5032100824004003,0.5032100824004003,1,0.00020507715241608715,,0.00020507715241608715,0.00020507715241608715,1,1,,,,,,
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,,,0.8036347638450214,,0.8036347638450214,0.8036347638450214,1,4.828522928934773,,4.828522928934773,4.828522928934773,1,0.08411800394455592,,0.08411800394455592,0.08411800394455592,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,178.57840000000013,,178.57840000000013,178.57840000000013,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.02742593556224904,,0.02742593556224904,0.02742593556224904,1,0.1647847562942725,,0.1647847562942725,0.1647847562942725,1,0.004500178990544326,,0.004500178990544326,0.004500178990544326,1,0.02703867281224812,,0.02703867281224812,0.02703867281224812,1,,,,,0,1,,,,,,
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,1.0,8000.0,0.7982810587515242,,0.7982810587515242,0.7982810587515242,1,4.876681070769236,,4.876681070769236,4.876681070769236,1,0.21744011223316193,,0.21744011223316193,0.21744011223316193,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,9.37943999999997,,9.37943999999997,9.37943999999997,1,2481.708534,,2481.708534,2481.708534,1,,,,,0,,,,,0,,,,,0,0.0003216659199961974,,0.0003216659199961974,0.0003216659199961974,1,0.00196504988557582,,0.00196504988557582,0.00196504988557582,1,0.02724322772341561,,0.02724322772341561,0.02724322772341561,1,0.166428266697469,,0.166428266697469,0.166428266697469,1,0.08510967165966483,,0.08510967165966483,0.08510967165966483,1,0.5199330739115823,,0.5199330739115823,0.5199330739115823,1,9.978513234394053e-05,,9.978513234394053e-05,9.978513234394053e-05,1,1,,,,,,
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.5,4000.0,0.7971486012980452,,0.7971486012980452,0.7971486012980452,1,4.753652151118462,,4.753652151118462,4.753652151118462,1,0.22754033982753755,,0.22754033982753755,0.22754033982753755,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,7.464459999999829,,7.464459999999829,7.464459999999829,1,973.315317,,973.315317,973.315317,1,,,,,0,,,,,0,,,,,0,0.0008190034487025803,,0.0008190034487025803,0.0008190034487025803,1,0.004883979598482433,,0.004883979598482433,0.004883979598482433,1,0.02720457993645639,,0.02720457993645639,0.02720457993645639,1,0.162229614057691,,0.162229614057691,0.162229614057691,1,0.10679253439606662,,0.10679253439606662,0.10679253439606662,1,0.6368380500556733,,0.6368380500556733,0.6368380500556733,1,0.0001992871503245113,,0.0001992871503245113,0.0001992871503245113,1,1,,,,,,
