display_name,model_type,training_time_s,parameters,inference_time_ms,peak_memory_mb
Attention-Stem Multi-Head Multiscale TCN,SNN,3.635513,78070.0,11.533619999999889,
SingleHead MLP,SNN,62.012891,643.0,0.5426400000001053,
conv1Dnetwork,SNN,75.935678,5443.0,1.530520000000113,
Fuse Shallow,SNN,76.531677,5859.0,3.801720000000053,
Multiscale Dilated,SNN,82.000292,12867.0,4.579439999999923,
SingleHead MLP,SNN,90.5334,643.0,0.7144199999999046,
Multiscale Branches,SNN,91.756563,5859.0,4.2454400000001336,
Multiple-Head Multiscale Branches,SNN,94.700302,5859.0,5.121059999999922,
conv1Dnetwork,SNN,100.640734,5443.0,1.8836399999998754,
Fuse Shallow,SNN,102.42205,5859.0,3.343020000000063,
Multiscale Dilated,SNN,107.57948,12867.0,3.7411399999999873,
Attention-Stem Multi-Head Multiscale Branches,SNN,118.47167,17638.0,6.422499999999954,
Multiscale Branches,SNN,124.333742,5859.0,3.5903999999998604,
Multiple-Head Multiscale Branches,SNN,133.784901,5859.0,5.115839999999938,
SingleHead MLP,SNN,153.638428,643.0,0.35759999999993575,
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,162.839033,29302.0,8.350439999999981,
Attention-Stem Multi-Head Multiscale Branches,SNN,167.682418,17638.0,6.491880000000006,
conv1Dnetwork,SNN,184.630727,5443.0,1.3884000000000007,
Fuse Shallow,SNN,186.306587,5859.0,3.2643800000001555,
Multiscale Branches,SNN,187.446532,5859.0,3.0849599999998922,
UNet1D,DNN,201.279979,2710819.0,18.177640000000036,
Multiscale Dilated,SNN,208.400401,12867.0,3.1815000000000815,
SepFormer,DNN,238.750869,601088.0,12.75501999999995,
Multiple-Head Multiscale Branches,SNN,243.399143,5859.0,6.717400000000052,
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,262.851488,29302.0,13.618039999999974,
Fuse Shallow,SNN,299.722866,5859.0,3.4778599999999216,
UNet1D,DNN,311.942761,2710819.0,21.12927999999989,
conv1Dnetwork,SNN,312.356608,5443.0,1.8749799999999262,
SingleHead MLP,SNN,340.698907,643.0,0.6457800000000624,
