run_id,model,depth_label,status,generation_mode,signal_type,n_components,selected_component_types,noise_level,duration,fs,train_samples,val_samples,test_samples,total_samples,train_fraction
d15d202cf883,unet1d,deep,started,pure,mixed,5.0,"['harmonic', 'amfm', 'chirp', 'trend', 'transient']",0.03,4.0,256,4000,400,400,,
c12566897e25,unet1d,deep,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,
c489ac946cb7,unet1d,deep,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,
24ce888352c6,unet1d,deep,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
b39b465d5d03,rnnbased,deep,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
3545c597890d,autoencoderbased,deep,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
b600aea799b6,tasnet,deep,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
c232ce5a3ba3,sepformer,deep,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
66e444a6792a,conv1dnetwork,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
67b7b9e01917,mlp_singlehead,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
126868959a7c,multiscale_dilated,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
c06d91bedeaf,multiscale_branches,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
14f25806ce27,fuse_shallow,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4512,400,400,5312.0,
c0b87229c81e,multiple_head_multiscale_branches,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,4800.0,
b63975bb8a8a,attention_stem_multiple_head_multiscale_branches,shallow,completed,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,4800.0,
c1508bab3849,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,600,600,9200.0,
ab5934ea7aa9,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,started,preset,mixed,3.0,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,600,600,9200.0,
acd2ecdbde16,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,started,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,200,400,400,,0.05
01c80c5d39fb,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,400,400,400,,0.05
7c2df5227e39,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,800,400,400,,0.1
0bdc1291cbc7,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,2000,400,400,,0.25
3a2124c0980e,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,4000,400,400,,0.5
0ab9949540ee,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,6000,400,400,,0.75
d72462c583b8,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,shallow,completed,,,,"['harmonic', 'amfm', 'chirp']",0.03,4.0,256,8000,400,400,,1.0
