model_name,display_name,model_type,family,architecture,config_name,train_fraction,train_samples,macro_corr,macro_corr_std,macro_corr_min,macro_corr_max,macro_corr_count,macro_snr,macro_snr_std,macro_snr_min,macro_snr_max,macro_snr_count,test_loss,test_loss_std,test_loss_min,test_loss_max,test_loss_count,module_count,module_count_std,module_count_min,module_count_max,module_count_count,parameters,parameters_std,parameters_min,parameters_max,parameters_count,inference_time_ms,inference_time_ms_std,inference_time_ms_min,inference_time_ms_max,inference_time_ms_count,training_time_s,training_time_s_std,training_time_s_min,training_time_s_max,training_time_s_count,peak_memory_mb,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,total_flops,total_flops_std,total_flops_min,total_flops_max,total_flops_count,estimated_energy,estimated_energy_std,estimated_energy_min,estimated_energy_max,estimated_energy_count,accuracy_per_training_second,accuracy_per_training_second_std,accuracy_per_training_second_min,accuracy_per_training_second_max,accuracy_per_training_second_count,snr_per_training_second,snr_per_training_second_std,snr_per_training_second_min,snr_per_training_second_max,snr_per_training_second_count,accuracy_per_1000_parameters,accuracy_per_1000_parameters_std,accuracy_per_1000_parameters_min,accuracy_per_1000_parameters_max,accuracy_per_1000_parameters_count,snr_per_1000_parameters,snr_per_1000_parameters_std,snr_per_1000_parameters_min,snr_per_1000_parameters_max,snr_per_1000_parameters_count,accuracy_per_inference_ms,accuracy_per_inference_ms_std,accuracy_per_inference_ms_min,accuracy_per_inference_ms_max,accuracy_per_inference_ms_count,snr_per_inference_ms,snr_per_inference_ms_std,snr_per_inference_ms_min,snr_per_inference_ms_max,snr_per_inference_ms_count,accuracy_per_sample,accuracy_per_sample_std,accuracy_per_sample_min,accuracy_per_sample_max,accuracy_per_sample_count,seed_count,macro_corr_sem,macro_corr_ci95,macro_snr_sem,macro_snr_ci95,test_loss_sem,test_loss_ci95
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,,,0.8036347638450214,,0.8036347638450214,0.8036347638450214,1,4.828522928934773,,4.828522928934773,4.828522928934773,1,0.08411800394455592,,0.08411800394455592,0.08411800394455592,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,12.08100000000023,,12.08100000000023,12.08100000000023,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0.02742593556224904,,0.02742593556224904,0.02742593556224904,1,0.1647847562942725,,0.1647847562942725,0.1647847562942725,1,0.06652054994164441,,0.06652054994164441,0.06652054994164441,1,0.3996790769749757,,0.3996790769749757,0.3996790769749757,1,,,,,0,1,,,,,,
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,1.0,8000.0,0.7982810587515242,,0.7982810587515242,0.7982810587515242,1,4.876681070769236,,4.876681070769236,4.876681070769236,1,0.21744011223316193,,0.21744011223316193,0.21744011223316193,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,9.37943999999997,,9.37943999999997,9.37943999999997,1,2481.708534,,2481.708534,2481.708534,1,,,,,0,,,,,0,,,,,0,0.0003216659199961974,,0.0003216659199961974,0.0003216659199961974,1,0.00196504988557582,,0.00196504988557582,0.00196504988557582,1,0.02724322772341561,,0.02724322772341561,0.02724322772341561,1,0.166428266697469,,0.166428266697469,0.166428266697469,1,0.08510967165966483,,0.08510967165966483,0.08510967165966483,1,0.5199330739115823,,0.5199330739115823,0.5199330739115823,1,9.978513234394053e-05,,9.978513234394053e-05,9.978513234394053e-05,1,1,,,,,,
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.5,4000.0,0.7971486012980452,,0.7971486012980452,0.7971486012980452,1,4.753652151118462,,4.753652151118462,4.753652151118462,1,0.22754033982753755,,0.22754033982753755,0.22754033982753755,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,7.464459999999829,,7.464459999999829,7.464459999999829,1,973.315317,,973.315317,973.315317,1,,,,,0,,,,,0,,,,,0,0.0008190034487025803,,0.0008190034487025803,0.0008190034487025803,1,0.004883979598482433,,0.004883979598482433,0.004883979598482433,1,0.02720457993645639,,0.02720457993645639,0.02720457993645639,1,0.162229614057691,,0.162229614057691,0.162229614057691,1,0.10679253439606662,,0.10679253439606662,0.10679253439606662,1,0.6368380500556733,,0.6368380500556733,0.6368380500556733,1,0.0001992871503245113,,0.0001992871503245113,0.0001992871503245113,1,1,,,,,,
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.75,6000.0,0.7964748871856887,,0.7964748871856887,0.7964748871856887,1,4.861267167664946,,4.861267167664946,4.861267167664946,1,0.23713804304599762,,0.23713804304599762,0.23713804304599762,1,5.0,,5,5,1,29302.0,,29302.0,29302.0,1,8.364099999999919,,8.364099999999919,8.364099999999919,1,1904.221386,,1904.221386,1904.221386,1,,,,,0,,,,,0,,,,,0,0.0004182680086682362,,0.0004182680086682362,0.0004182680086682362,1,0.0025528897025342756,,0.0025528897025342756,0.0025528897025342756,1,0.02718158785017025,,0.02718158785017025,0.02718158785017025,1,0.165902230826051,,0.165902230826051,0.165902230826051,1,0.09522541423293557,,0.09522541423293557,0.09522541423293557,1,0.5812062466571409,,0.5812062466571409,0.5812062466571409,1,0.00013274581453094812,,0.00013274581453094812,0.00013274581453094812,1,1,,,,,,
fuse_shallow,Fuse Shallow,SNN,conv1d,conv1d,,0.75,6000.0,0.7828923612728644,,0.7828923612728644,0.7828923612728644,1,4.51805892757533,,4.51805892757533,4.51805892757533,1,0.25173721194267273,,0.25173721194267273,0.25173721194267273,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,3.6382199999999365,,3.6382199999999365,3.6382199999999365,1,437.551995,,437.551995,437.551995,1,,,,,0,,,,,0,,,,,0,0.0017892556089770873,,0.0017892556089770873,0.0017892556089770873,1,0.010325764661581147,,0.010325764661581147,0.010325764661581147,1,0.13362218147685004,,0.13362218147685004,0.13362218147685004,1,0.7711314093830569,,0.7711314093830569,0.7711314093830569,1,0.2151855471282325,,0.2151855471282325,0.2151855471282325,1,1.2418322497197556,,1.2418322497197556,1.2418322497197556,1,0.00013048206021214407,,0.00013048206021214407,0.00013048206021214407,1,1,,,,,,
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.75,6000.0,0.7783056142723406,,0.7783056142723406,0.7783056142723406,1,4.610578527418174,,4.610578527418174,4.610578527418174,1,0.24193774700164794,,0.24193774700164794,0.24193774700164794,1,5.0,,5,5,1,17638.0,,17638.0,17638.0,1,6.221500000000102,,6.221500000000102,6.221500000000102,1,1292.263188,,1292.263188,1292.263188,1,,,,,0,,,,,0,,,,,0,0.0006022810380267062,,0.0006022810380267062,0.0006022810380267062,1,0.003567832443291865,,0.003567832443291865,0.003567832443291865,1,0.044126636482160135,,0.044126636482160135,0.044126636482160135,1,0.2614003020420781,,0.2614003020420781,0.2614003020420781,1,0.12509935132561725,,0.12509935132561725,0.12509935132561725,1,0.7410718520321624,,0.7410718520321624,0.7410718520321624,1,0.00012971760237872343,,0.00012971760237872343,0.00012971760237872343,1,1,,,,,,
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,0.5,4000.0,0.7749844897565077,0.0,0.7749844897565077,0.7749844897565077,2,4.564074220150415,0.0,4.564074220150415,4.564074220150415,2,0.23360004186630248,1.6858739420058537e-09,0.23360004067420959,0.23360004305839538,2,5.0,0.0,5,5,2,17638.0,0.0,17638.0,17638.0,2,7.8608900000004756,1.5740338370574334,6.747880000000083,8.973900000000867,2,555.904363,168.84536137477988,436.512663,675.296063,2,,,,,0,,,,,0,,,,,0,0.0014615107992074655,0.00044390606634855256,0.0011476218094825584,0.0017753997889323723,2,0.008607196465609278,0.002614271976238343,0.006758627023345188,0.010455765907873366,2,0.04393834276882343,0.0,0.04393834276882343,0.04393834276882343,2,0.25876370451017205,0.0,0.25876370451017205,0.25876370451017205,2,0.1006042096131296,0.020144593052628283,0.08635983126137274,0.11484858796488648,2,0.5924829278559607,0.11863646181591184,0.5085942812099504,0.6763715745019708,2,0.0001937461224391269,0.0,0.0001937461224391269,0.0001937461224391269,2,2,0.0,0.0,0.0,0.0,1.1920928966180355e-09,2.3365020773713496e-09
attention_stem_multiple_head_multiscale_branches,Attention-Stem Multi-Head Multiscale Branches,SNN,conv1d,conv1d,,1.0,8000.0,0.7733359485727226,,0.7733359485727226,0.7733359485727226,1,4.594212573826844,,4.594212573826844,4.594212573826844,1,0.2250497055053711,,0.2250497055053711,0.2250497055053711,1,5.0,,5,5,1,17638.0,,17638.0,17638.0,1,5.772379999999933,,5.772379999999933,5.772379999999933,1,1841.048331,,1841.048331,1841.048331,1,,,,,0,,,,,0,,,,,0,0.0004200519538521135,,0.0004200519538521135,0.0004200519538521135,1,0.0024954328990002186,,0.0024954328990002186,0.0024954328990002186,1,0.04384487745621513,,0.04384487745621513,0.04384487745621513,1,0.2604724216933237,,0.2604724216933237,0.2604724216933237,1,0.13397176703071031,,0.13397176703071031,0.13397176703071031,1,0.7958957265160813,,0.7958957265160813,0.7958957265160813,1,9.666699357159032e-05,,9.666699357159032e-05,9.666699357159032e-05,1,1,,,,,,
fuse_shallow,Fuse Shallow,SNN,conv1d,conv1d,,0.5,4000.0,0.7730807755070964,,0.7730807755070964,0.7730807755070964,1,4.294729036048174,,4.294729036048174,4.294729036048174,1,0.24427135050296783,,0.24427135050296783,0.24427135050296783,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,3.4778599999999216,,3.4778599999999216,3.4778599999999216,1,299.722866,,299.722866,299.722866,1,,,,,0,,,,,0,,,,,0,0.0025793186413314772,,0.0025793186413314772,0.0025793186413314772,1,0.014329000297388633,,0.014329000297388633,0.014329000297388633,1,0.13194756366395227,,0.13194756366395227,0.13194756366395227,1,0.7330140017149981,,0.7330140017149981,0.7330140017149981,1,0.2222863414591484,,0.2222863414591484,0.2222863414591484,1,1.2348769174286114,,1.2348769174286114,1.2348769174286114,1,0.00019327019387677412,,0.00019327019387677412,0.00019327019387677412,1,1,,,,,,
fuse_shallow,Fuse Shallow,SNN,conv1d,conv1d,,0.564,4512.0,0.7730458162090525,,0.7730458162090525,0.7730458162090525,1,4.398508162048053,,4.398508162048053,4.398508162048053,1,0.09604017595450083,,0.09604017595450083,0.09604017595450083,1,2.0,,2,2,1,5859.0,,5859.0,5859.0,1,7.83019999999901,,7.83019999999901,7.83019999999901,1,400.423291,,400.423291,400.423291,1,,,,,0,,,,,0,,,,,0,0.0019305715566107081,,0.0019305715566107081,0.0019305715566107081,1,0.010984646150485918,,0.010984646150485918,0.010984646150485918,1,0.13194159689521293,,0.13194159689521293,0.13194159689521293,1,0.7507267728363292,,0.7507267728363292,0.7507267728363292,1,0.09872619041776076,,0.09872619041776076,0.09872619041776076,1,0.5617363748114491,,0.5617363748114491,0.5617363748114491,1,0.00017133107628746733,,0.00017133107628746733,0.00017133107628746733,1,1,,,,,,
