display_name,model_type,accuracy_per_training_second,accuracy_per_1000_parameters,accuracy_per_inference_ms,accuracy_per_sample,macro_corr
Attention-Stem Multi-Head Multiscale TCN,SNN,0.13521264717405138,0.006296494640267415,0.04262038601633154,0.015361479267677409,0.4915673365656771
SingleHead MLP,SNN,0.008908387725798524,0.859152219324544,1.01805041468667,0.0013810871925642046,0.5524348770256818
conv1Dnetwork,SNN,0.008807786063242288,0.12287804636987948,0.43699213756841115,0.001672063015978135,0.668825206391254
Fuse Shallow,SNN,0.008698960446837382,0.11362792817087118,0.17511706047608055,0.0016643650778828357,0.6657460311531342
Multiscale Dilated,SNN,0.008020510678728504,0.051114029505312464,0.14361673428298363,0.0016442105441121387,0.6576842176448555
Multiscale Branches,SNN,0.007264090102900576,0.11376138268722874,0.15699855401665133,0.001666319852911183,0.6665279411644732
Multiple-Head Multiscale Branches,SNN,0.007062381804134229,0.11415082602676503,0.1305998542666609,0.0016720242242270408,0.6688096896908163
conv1Dnetwork,SNN,0.006805263004660015,0.1258288928627649,0.36359743042835924,0.0008561083298150367,0.6848866638520293
Fuse Shallow,SNN,0.00679202625241244,0.11873242062227336,0.20809126251888604,0.0008695665655323745,0.6956532524258996
Multiscale Dilated,SNN,0.006146203778331929,0.05138768993914542,0.1767390171036065,0.0008265067580587302,0.6612054064469842
SingleHead MLP,SNN,0.006145027783368814,0.8652103550899568,0.7787159630510295,0.0006954128229035528,0.5563302583228422
Attention-Stem Multi-Head Multiscale Branches,SNN,0.005782198026570788,0.03883811409902175,0.10666043697602967,0.0017125666411963642,0.6850266564785457
Multiscale Branches,SNN,0.005526792100381278,0.11728396366213413,0.19139002425815246,0.0008589584288705549,0.6871667430964439
Multiple-Head Multiscale Branches,SNN,0.0051485071494170595,0.11756144722351143,0.1346391832587731,0.0008609906491031918,0.6887925192825535
Attention-Stem Multi-Head Multiscale Branches,SNN,0.004253403470514707,0.04043661291900997,0.10986354933632433,0.0008915262233318724,0.7132209786654979
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.0042377902897509515,0.023550531459962967,0.08263967800976192,0.001725194182099587,0.6900776728398348
Multiscale Branches,SNN,0.004010615530520891,0.1283113112103569,0.24369067099136046,0.00037588798619074055,0.7517759723814811
Fuse Shallow,SNN,0.003998175393048535,0.12713541759792732,0.22818618289115258,0.0003724432058531281,0.7448864117062561
conv1Dnetwork,SNN,0.003704460289286891,0.1256581290379697,0.492622584524394,0.0003419785981768345,0.683957196353669
UNet1D,DNN,0.0036160778139450334,0.00026849600303569595,0.04004062499054997,0.0018196101661330554,0.7278440664532222
SingleHead MLP,SNN,0.0036146879439955906,0.8636935823110957,1.5530060778135748,0.00027767748671301727,0.5553549734260346
Multiscale Dilated,SNN,0.0031943631350844492,0.05173751133063001,0.20924298547578166,0.0003328532791456082,0.6657065582912164
Multiple-Head Multiscale Branches,SNN,0.0030159897413567656,0.12529259572333648,0.10928176353098264,0.00036704465917151427,0.7340893183430285
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.002732626655176918,0.02451283129007289,0.05274437308612085,0.0008978437280771447,0.7182749824617158
SepFormer,DNN,0.002705060757358628,0.00107444435177074,0.050633837227787415,0.0016145890162929263,0.6458356065171705
Fuse Shallow,SNN,0.0025793186413314772,0.13194756366395227,0.2222863414591484,0.00019327019387677412,0.7730807755070964
UNet1D,DNN,0.002509740393431737,0.0002888039916056079,0.03705262780938709,0.000978619184650403,0.7828953477203224
conv1Dnetwork,SNN,0.0022288474902903356,0.12790652982112846,0.3713080895883847,0.00017404881045410053,0.6961952418164021
Attention-Stem Multi-Head Multiscale Branches,SNN,0.002124128407922956,0.043096981754134935,0.1219172923116005,0.000380072282089716,0.760144564179432
Fuse Shallow,SNN,0.0019305715566107081,0.13194159689521293,0.09872619041776076,0.00017133107628746733,0.7730458162090525
Multiscale Branches,SNN,0.0019291508134804197,0.1311758827642118,0.34900890828634495,0.00019213987427887922,0.7685594971155169
Multiple-Head Multiscale Branches,SNN,0.001925249392997378,0.13057600153909832,0.15347111272910097,0.0001912611982543943,0.7650447930175771
Multiscale Dilated,SNN,0.0018720908118288557,0.05199713810122248,0.1767712007304034,0.0001672617939871074,0.6690471759484297
Fuse Shallow,SNN,0.0017892556089770873,0.13362218147685004,0.2151855471282325,0.00013048206021214407,0.7828923612728644
SepFormer,DNN,0.0016547635067594478,0.001091265438008435,0.04169574119592682,0.0008199331995020178,0.6559465596016142
SingleHead MLP,SNN,0.0016335573805930524,0.8655539876980342,0.8618278888937133,0.000139137803522459,0.556551214089836
conv1Dnetwork,SNN,0.0015626472006638828,0.12664230237439478,0.33587392283007556,0.0001527735043935795,0.6893140518238308
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.0015559857334555218,0.026282787836642264,0.09692833237546167,0.00038506912459464583,0.7701382491892916
