display_name,model_type,train_fraction,train_samples,macro_corr,macro_snr,test_loss,seed_count
TasNet,DNN,0.05,400.0,0.7283832995869368,3.5058580821334213,0.2829969620704651,1
UNet1D,DNN,0.05,400.0,0.7278440664532222,4.224183800442263,0.26086281061172484,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.05,400.0,0.6900776728398348,2.9642220985020797,0.31393449306488036,1
Attention-Stem Multi-Head Multiscale Branches,SNN,0.05,400.0,0.6850266564785457,2.9450500581252568,0.31352840185165404,1
conv1Dnetwork,SNN,0.05,400.0,0.668825206391254,2.4937913311588615,0.3313485896587372,1
Multiple-Head Multiscale Branches,SNN,0.05,400.0,0.6688096896908163,2.733884852013117,0.325062997341156,1
Multiscale Branches,SNN,0.05,400.0,0.6665279411644732,2.7398410477532913,0.32509243965148926,1
Fuse Shallow,SNN,0.05,400.0,0.6657460311531342,2.8258756504648286,0.32329068541526795,1
Multiscale Dilated,SNN,0.05,400.0,0.6576842176448555,2.661870636844112,0.32753594040870665,1
SepFormer,DNN,0.05,400.0,0.6458356065171705,2.641634626345061,0.3269845080375671,1
SingleHead MLP,SNN,0.05,400.0,0.5524348770256818,1.3307684272074647,0.4124495816230774,1
TasNet,DNN,0.1,800.0,0.8075201050305948,5.164861149745431,0.22360240817070007,1
UNet1D,DNN,0.1,800.0,0.7828953477203224,4.938090082953311,0.23676492929458617,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.1,800.0,0.7182749824617158,3.412512051069135,0.292749400138855,1
Attention-Stem Multi-Head Multiscale Branches,SNN,0.1,800.0,0.7132209786654979,3.4278762130144638,0.2925909209251404,1
Fuse Shallow,SNN,0.1,800.0,0.6956532524258996,3.220923901932289,0.3067064023017883,1
Multiple-Head Multiscale Branches,SNN,0.1,800.0,0.6887925192825535,3.0572279335585506,0.31367778658866885,1
Multiscale Branches,SNN,0.1,800.0,0.6871667430964439,3.0467007420533863,0.31413731575012205,1
conv1Dnetwork,SNN,0.1,800.0,0.6848866638520293,2.758428979537671,0.32022158861160277,1
Multiscale Dilated,SNN,0.1,800.0,0.6612054064469842,2.7641747156818384,0.3215288543701172,1
SepFormer,DNN,0.1,800.0,0.6559465596016142,2.781145419456438,0.32304290056228635,1
SingleHead MLP,SNN,0.1,800.0,0.5563302583228422,1.315987354158595,0.4053985369205475,1
TasNet,DNN,0.25,2000.0,0.8702248242361835,6.65571652504328,0.18830593943595886,1
UNet1D,DNN,0.25,2000.0,0.8428469345575076,6.139492541276734,0.2095617127418518,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.25,2000.0,0.7701382491892916,4.229549583570884,0.2587965250015259,1
SepFormer,DNN,0.25,2000.0,0.7676275131455768,4.448935468404997,0.24514665722846984,1
Attention-Stem Multi-Head Multiscale Branches,SNN,0.25,2000.0,0.760144564179432,4.191715089871788,0.26213231921195984,1
Multiscale Branches,SNN,0.25,2000.0,0.7517759723814811,3.8353423111387484,0.2808328306674957,1
Fuse Shallow,SNN,0.25,2000.0,0.7448864117062561,3.9929735032346203,0.27212674140930176,1
Multiple-Head Multiscale Branches,SNN,0.25,2000.0,0.7340893183430285,3.6521104067918255,0.28635427474975583,1
conv1Dnetwork,SNN,0.25,2000.0,0.683957196353669,2.948138814790213,0.31714508414268494,1
Multiscale Dilated,SNN,0.25,2000.0,0.6657065582912164,2.7911303160829664,0.31612993955612184,1
SingleHead MLP,SNN,0.25,2000.0,0.5553549734260346,1.3656001177497086,0.4149801516532898,1
TasNet,DNN,0.5,4000.0,0.9151321654225762,8.16621640033858,0.14947033643722535,1
UNet1D,DNN,0.5,4000.0,0.8786929483360199,6.875950211033271,0.17511518716812133,1
SepFormer,DNN,0.5,4000.0,0.8203086096643486,5.487244279333515,0.1977774167060852,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.5,4000.0,0.7971486012980452,4.753652151118462,0.22754033982753755,1
Attention-Stem Multi-Head Multiscale Branches,SNN,0.5,4000.0,0.7749844897565077,4.564074220150415,0.23360004186630248,2
Fuse Shallow,SNN,0.5,4000.0,0.7730807755070964,4.294729036048174,0.24427135050296783,1
Multiscale Branches,SNN,0.5,4000.0,0.7685594971155169,4.102684168956858,0.2542738407850266,1
Multiple-Head Multiscale Branches,SNN,0.5,4000.0,0.7650447930175771,4.151476119602357,0.2543820482492447,2
conv1Dnetwork,SNN,0.5,4000.0,0.6961952418164021,3.0361816006788387,0.2957029616832733,1
Multiscale Dilated,SNN,0.5,4000.0,0.6690471759484297,2.965792061334256,0.29222711086273195,1
SingleHead MLP,SNN,0.5,4000.0,0.556551214089836,1.3578043904382735,0.4023681497573853,1
TasNet,DNN,0.564,4512.0,0.9345496932204675,9.322229397256804,0.02802625800172488,1
UNet1D,DNN,0.564,4512.0,0.8778733767275306,6.835553567502021,0.05228243485093117,1
SepFormer,DNN,0.564,4512.0,0.841449532267773,5.951174931367793,0.05724945306777954,1
Fuse Shallow,SNN,0.564,4512.0,0.7730458162090525,4.398508162048053,0.09604017595450083,1
Multiscale Branches,SNN,0.564,4512.0,0.7638261500377372,4.142691879951573,0.2485169994831085,1
conv1Dnetwork,SNN,0.564,4512.0,0.6893140518238308,2.8731123317499736,0.13216941833496093,1
Multiscale Dilated,SNN,0.564,4512.0,0.682177385940307,2.8679927349144245,0.11804621477921803,1
SingleHead MLP,SNN,0.564,4512.0,0.5556245326207161,1.3829598739508744,0.18856770356496175,1
TasNet,DNN,0.75,6000.0,0.9176189809607689,8.491382118262306,0.1510607546567917,1
UNet1D,DNN,0.75,6000.0,0.8800427993324463,7.166305068232628,0.175801500082016,1
SepFormer,DNN,0.75,6000.0,0.8198940534929625,5.62974001116567,0.20305562019348145,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,0.75,6000.0,0.7964748871856887,4.861267167664946,0.23713804304599762,1
Fuse Shallow,SNN,0.75,6000.0,0.7828923612728644,4.51805892757533,0.25173721194267273,1
Attention-Stem Multi-Head Multiscale Branches,SNN,0.75,6000.0,0.7783056142723406,4.610578527418174,0.24193774700164794,1
Multiscale Branches,SNN,0.75,6000.0,0.7600070324764835,4.271478703986942,0.2598441231250763,1
Multiple-Head Multiscale Branches,SNN,0.75,6000.0,0.7540695525949578,4.197023641167642,0.26074561595916745,1
conv1Dnetwork,SNN,0.75,6000.0,0.6895060390624451,2.9376089940487833,0.3112958788871765,1
Multiscale Dilated,SNN,0.75,6000.0,0.6777483420893826,3.0335788014331144,0.29947441816329956,1
SingleHead MLP,SNN,0.75,6000.0,0.5562562503082887,1.3665392166715926,0.41759247541427613,1
TasNet,DNN,1.0,8000.0,0.9347157604469225,8.978874880924309,0.13216790318489074,1
UNet1D,DNN,1.0,8000.0,0.8941169274742142,7.398852053601261,0.15877111196517946,1
SepFormer,DNN,1.0,8000.0,0.8305565449570773,5.719980325070204,0.1839870524406433,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,1.0,8000.0,0.7982810587515242,4.876681070769236,0.21744011223316193,1
Attention-Stem Multi-Head Multiscale Branches,SNN,1.0,8000.0,0.7733359485727226,4.594212573826844,0.2250497055053711,1
Fuse Shallow,SNN,1.0,8000.0,0.7636496894382079,4.174924987546542,0.23782610535621643,1
Multiple-Head Multiscale Branches,SNN,1.0,8000.0,0.7587463058694959,4.259531808514342,0.24070016622543336,1
Multiscale Branches,SNN,1.0,8000.0,0.7555616344133261,4.21538645085008,0.24092302918434144,1
Autoencoder,DNN,1.0,4512.0,0.6883137052284867,2.8586543849516315,0.13267046918471653,1
Multiscale Dilated,SNN,1.0,8000.0,0.6876405530330263,3.0674835270499057,0.27570319890975953,1
conv1Dnetwork,SNN,1.0,8000.0,0.6811504602046621,2.7865839088736277,0.29393733978271486,1
SingleHead MLP,SNN,1.0,8000.0,0.5574956611452917,1.3463357869243435,0.3949497067928314,1
Attention-Stem Multi-Head Multiscale TCN,SNN,1.0,32.0,0.4915673365656771,1.5446327967959665,0.4651069976389408,1
unet1d_pure_harmonic_amfm_chirp_trend_transient,DNN,,,0.8721274239793777,7.174882978804903,0.03774098493158817,1
Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,SNN,,,0.8036347638450214,4.828522928934773,0.08411800394455592,1
RNN (LSTM/GRU),DNN,,,0.6632319353980407,3.0563073767488222,0.1374935390551885,1
