model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
tasnet,TasNet,tasnet,deep,0.13216790318489074,0.9347157604469225,8.978874880924309,0.10017314995825391,0.040292141209976436,2503296.0,60.89694000000012,2026-05-25T05:18:26.678580Z,10072.054724,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf100_s42\tasnet_best.pt,decomposers\ML_methods\NN_based\saved_models\tasnet_data_availability_tf100_s42\final_test_report.json,tasnet,,tasnet,,,,,,,DNN,,,,,,,,,,,,0,DNN,1.0
unet1d,UNet1D,unet,deep,0.15877111196517946,0.8941169274742142,7.398852053601261,0.1108602223128015,0.03789509355037939,2710819.0,21.702780000000036,2026-05-25T08:08:16.620684Z,4045.382972,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf100_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf100_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,5.0
unet1d,UNet1D,unet,deep,0.175801500082016,0.8800427993324463,7.166305068232628,0.10144337517790966,0.03920547884956309,2710819.0,20.078459999999957,2026-05-25T07:00:47.922297Z,2983.988591,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf075_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf075_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,6.0
unet1d,UNet1D,unet,deep,0.2095617127418518,0.8428469345575076,6.139492541276734,0.10054206880333359,0.03617631127143821,2710819.0,18.38292000000008,2026-05-25T05:38:17.509815Z,667.219221,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf025_s42\unet1d_best.pt,decomposers\ML_methods\NN_based\saved_models\unet1d_data_availability_tf025_s42\final_test_report.json,unet1d,,unet,,,,,,,DNN,,,,,,,,,,,,0,DNN,11.0
sepformer,SepFormer,sepformer,deep,0.05724945306777954,0.841449532267773,5.951174931367793,0.036212903423254304,0.1933570035822826,601088.0,20.43399999999984,,3171.22,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,12.0
sepformer,SepFormer,sepformer,deep,0.1839870524406433,0.8305565449570773,5.719980325070204,0.10924063967585301,0.039454724088719334,601088.0,13.138920000000008,2026-05-25T11:05:36.919469Z,3959.092119,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf100_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf100_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,13.0
sepformer,SepFormer,sepformer,deep,0.1977774167060852,0.8203086096643486,5.487244279333515,0.09763249350953174,0.04236244965241676,601088.0,10.904479999999994,2026-05-25T09:09:42.423430Z,2007.1771,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf050_s42\sepformer_best.pt,decomposers\ML_methods\NN_based\saved_models\sepformer_data_availability_tf050_s42\final_test_report.json,sepformer,,sepformer,,,,,,,DNN,,,,,,,,,,,,0,DNN,14.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.08411800394455592,0.8036347638450214,4.828522928934773,0.11656327768109215,0.033594497658872735,29302.0,12.08100000000023,,,,,,,,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,17.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.21744011223316193,0.7982810587515242,4.876681070769236,0.11462231648968516,0.03731283535869015,29302.0,9.37943999999997,2026-05-24T17:09:16.763211Z,2481.708534,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf100_s42\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf100_s42\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,18.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.22754033982753755,0.7971486012980452,4.753652151118462,0.11798813299457706,0.03286815753833248,29302.0,7.464459999999829,2026-05-24T15:56:05.966473Z,973.315317,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf050_s42\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf050_s42\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,19.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.25173721194267273,0.7828923612728644,4.51805892757533,0.1109744774900317,0.03116138470785941,5859.0,3.6382199999999365,2026-05-24T18:43:01.634393Z,437.551995,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf075_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf075_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,22.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.24427135050296783,0.7730807755070964,4.294729036048174,0.11822918819079405,0.029380035579137154,5859.0,3.4778599999999216,2026-05-24T18:35:40.664220Z,299.722866,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf050_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf050_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,27.0
multiscale_branches,Multiscale Branches,conv1d,shallow,0.2542738407850266,0.7685594971155169,4.102684168956858,0.12092028871899935,0.0286263975861129,5859.0,2.202119999999974,2026-05-24T19:54:51.672307Z,398.392646,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf050_s42\multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\multiscale_branches_data_availability_tf050_s42\final_test_report.json,multiscale_branches,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,30.0
conv1Dnetwork,conv1Dnetwork,unknown,,0.2957029616832733,0.6961952418164021,3.0361816006788387,0.12407058148969238,0.025640323782058404,5443.0,1.8749799999999262,2026-05-24T21:06:04.344915Z,312.356608,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\conv1dnetwork_data_availability_tf050_s42\conv1Dnetwork_best.pt,decomposers\ML_methods\NN_based\saved_models\conv1dnetwork_data_availability_tf050_s42\final_test_report.json,,,unknown,,,,,,,SNN,,,,,,,,,,,,0,SNN,48.0
conv1Dnetwork,conv1Dnetwork,unknown,,0.3112958788871765,0.6895060390624451,2.9376089940487833,0.1384785976740874,0.01766188408151994,5443.0,1.0397399999999557,2026-05-24T21:13:44.898032Z,457.228666,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\conv1dnetwork_data_availability_tf075_s42\conv1Dnetwork_best.pt,decomposers\ML_methods\NN_based\saved_models\conv1dnetwork_data_availability_tf075_s42\final_test_report.json,,,unknown,,,,,,,SNN,,,,,,,,,,,,0,SNN,51.0
mlp_singlehead,SingleHead MLP,mlp,shallow,0.3949497067928314,0.5574956611452917,1.3463357869243435,0.15705713265627802,0.007864159735399603,643.0,0.3207800000000205,2026-05-25T14:11:18.525081Z,694.642069,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead_data_availability_tf100_s42\mlp_singlehead_best.pt,decomposers\ML_methods\NN_based\saved_models\mlp_singlehead_data_availability_tf100_s42\final_test_report.json,mlp_singlehead,,mlp,,,,,,,SNN,,,,,,,,,,,,0,SNN,74.0
