model_name,display_name,family,depth_label,test_loss,macro_corr,macro_snr,clean_sum_mse,observed_mixture_mse,parameters,inference_time_ms,training_date,training_time_s,train_samples,val_samples,test_samples,total_samples,epochs,checkpoint_path,report_path,model_key,notes,architecture,config_name,noise_level,overlap_level,nonstationarity_level,num_components,seed,model_type,enabled_modules,attention_stem,branch_attention,multiscale_branches,feature_fusion,multiple_heads,bilinear_fusion,dilated_temporal_convs,residual_connections,tcn_backbone,frequency_features,module_count,model_group,macro_corr_rank
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.17132644176483156,0.8709606746424003,6.693094520676279,0.09956695928635391,0.049412536760800936,78070.0,23.51080000000003,2026-05-25T17:49:27.264977Z,4873.228442,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf100_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf100_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,10.0
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.19038691401481628,0.8582264162011112,6.52411191263261,0.09993377771249412,0.037195815432308175,78070.0,18.224520000000055,2026-05-25T16:28:10.213392Z,3381.873509,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf075_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf075_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,12.0
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.18465256333351135,0.8525727156876619,6.1618755200514554,0.1013564013378636,0.04424904359415347,78070.0,27.73115999999991,2026-05-25T15:31:43.724130Z,2266.366969,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf050_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf050_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,13.0
attention_stem_multi_head_multiscale_tcn,Attention-Stem Multi-Head Multiscale TCN,conv1d,shallow,0.22309753596782683,0.8168685604512076,5.349519072457647,0.10717442109731624,0.037229665133561844,78070.0,18.459879999999895,2026-05-25T14:53:54.296324Z,1147.611058,2000.0,400.0,400.0,2800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf025_s42\attention_stem_multi_head_multiscale_tcn_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_multi_head_multiscale_tcn_data_availability_tf025_s42\final_test_report.json,attention_stem_multi_head_multiscale_tcn,,conv1d,,,,,,,SNN,"attention_stem, branch_attention, dilated_temporal_convs, feature_fusion, multiple_heads, multiscale_branches, residual_connections, tcn_backbone",True,True,True,True,True,False,True,True,True,False,8,SNN,19.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.08411800394455592,0.8036347638450214,4.828522928934773,0.11656327768109215,0.033594497658872735,29302.0,5.1971999999977925,,,,,,,,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,21.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.21744011223316193,0.7982810587515242,4.876681070769236,0.11462231648968516,0.03731283535869015,29302.0,9.37943999999997,2026-05-24T17:09:16.763211Z,2481.708534,8000.0,400.0,400.0,8800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf100_s42\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf100_s42\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,22.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.22754033982753755,0.7971486012980452,4.753652151118462,0.11798813299457706,0.03286815753833248,29302.0,7.464459999999829,2026-05-24T15:56:05.966473Z,973.315317,4000.0,400.0,400.0,4800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf050_s42\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf050_s42\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,23.0
attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-Stem Bilinear-Fusion Multi-Head Multiscale Branches,conv1d,shallow,0.23713804304599762,0.7964748871856887,4.861267167664946,0.1151596866908878,0.031265029620211375,29302.0,8.364099999999919,2026-05-24T16:27:52.916304Z,1904.221386,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf075_s42\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_best.pt,decomposers\ML_methods\NN_based\saved_models\attention_stem_bilinear_fusion_multiple_head_multiscale_branches_data_availability_tf075_s42\final_test_report.json,attention_stem_bilinear_fusion_multiple_head_multiscale_branches,Attention-stem multi-head architecture with bilinear fusion replacing ordinary 1x1 fusion.,conv1d,,,,,,,SNN,"attention_stem, bilinear_fusion, branch_attention, multiple_heads, multiscale_branches",True,True,True,False,True,True,False,False,False,False,5,SNN,24.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.25173721194267273,0.7828923612728644,4.51805892757533,0.1109744774900317,0.03116138470785941,5859.0,3.6382199999999365,2026-05-24T18:43:01.634393Z,437.551995,6000.0,400.0,400.0,6800.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf075_s42\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow_data_availability_tf075_s42\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,26.0
fuse_shallow,Fuse Shallow,conv1d,shallow,0.09027554363012313,0.7800541507642534,4.49299113494747,0.11855331423155455,0.03367243717958048,5859.0,1.8196999999986474,2026-04-20T04:36:29.173990Z,400.423291,4512.0,400.0,400.0,5312.0,20.0,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\fuse_shallow_best.pt,decomposers\ML_methods\NN_based\saved_models\fuse_shallow\final_test_report.json,fuse_shallow,,conv1d,,,,,,,SNN,"feature_fusion, multiscale_branches",False,False,True,True,False,False,False,False,False,False,2,SNN,27.0
